Title,Rating,Votes,Duration,Genre
Oru Anveshanathinte Thudakkam,7.1,830,181.0,Action
Villain,7.9,7,,Action
The Evil Three,6.9,898,30.0,Action
Mazhai Pidikatha Manithan,4.5,422,133.0,Action
Ruslaan,3.3,1,120.0,Action
Saindhav,5.1,1,138.0,Action
The Desperate Chase,5.5,57,110.0,Action
Batman: The Darkest Knight,6.28638956805216,0,72.0,Action
Where Is Gilgamesh?,9.0,605,90.0,Action
Gangs of Godavari,5.0,903,165.0,Action
South Side Hero,5.4,36,92.0,Action
How to Make a Werewolf,5.9,138,0.0,Action
Kondal,5.4,766,147.0,Action
Bandaa Singh Chaudhary,6.3,5,113.0,Action
Bad Boyz,4.6,606,150.0,Action
Fuuto PI: Portrait of Kamen Rider Skull,7.5,36,82.0,Action
Taklee Genesis x Worlds Collide,5.4,400,146.0,Action
DNA,5.1,210,156.0,Action
Bond of Justice: Kizuna Part I - Encounter,6.1,17,92.0,Action
Touchdown,6.8,13,78.0,Action
Honeko Akabane's Bodyguards,5.9,37,117.0,Action
Bastar: The Naxal Story,6.4,3,124.0,Action
Formed Police Unit,4.6,474,120.0,Action
Azotes de Barrio 2,9.9,8,,Action
Mechanic Rocky,6.5,3,156.0,Action
The Moon Thieves,6.1,239,108.0,Action
Codename: Devil,6.28638956805216,0,104.0,Action
Komandir,6.3,516,131.0,Action
Death Game,6.3,24,88.0,Action
The Traveller,5.2,205,134.0,Action
Alligator Blood,5.2,1,,Action
Deadzone,4.1,35,80.0,Action
Nasha Jurm Aur Gangsters,6.9,2,137.0,Action
Ruthless,6.28638956805216,0,147.0,Action
Ten Toes Down,8.0,31,,Action
Tòkunbò,3.9,294,113.0,Action
Gone with the Dead,4.4,47,96.0,Action
Saint Young Men: Holy Men vs Demon Army,3.0,13,93.0,Action
The Circuit 4: Faith Fighter,4.4,88,90.0,Action
Polar,4.4,28,76.0,Action
Bloodline,9.2,49,80.0,Action
Karma,4.5,17,111.0,Action
KA,7.2,1,151.0,Action
Shekko,6.0,552,120.0,Action
Black Storm,6.6,65,97.0,Action
The Last Chainsaw Massacre,3.8,40,75.0,Action
Achilles Curse and the Curse of Treasure,7.4,25,125.0,Action
Kizumonogatari: Koyomi Vamp,7.0,85,144.0,Action
Neo-Dome,6.6,16,15.0,Action
Checkmate,4.3,385,104.0,Action
From Within,6.28638956805216,0,,Action
Chasing Raine,2.3,187,101.0,Action
Mutant,4.5,59,90.0,Action
Mummy Shark,2.0,176,66.0,Action
Average Student Nani,8.0,2,138.0,Action
Hunt the Wicked,5.3,108,102.0,Action
Por,5.0,609,154.0,Action
Hit List,5.5,310,125.0,Action
Mother Mafia,3.3,48,80.0,Action
Kade,6.7,16,92.0,Action
Iddaru,9.1,295,148.0,Action
Double Ismart,2.9,2,156.0,Action
Rathnam,5.4,3,155.0,Action
Kali,5.1,414,96.0,Action
Spider-Man: Final Swing,8.4,10,153.0,Action
Delivery Run,8.5,11,,Action
Usha Parinayam,9.0,2,144.0,Action
Losing Lerato 2,9.1,31,96.0,Action
London Gangsters,4.3,11,104.0,Action
Duffle Bag Boy,6.9,57,,Action
Special Needs Revolt!,6.28638956805216,0,113.0,Action
Meteor: Day One,3.5,35,,Action
RSVP,4.8,360,,Action
"Fool Me Once, Revenge on You",6.9,9,,Action
Second Life,6.8,47,105.0,Action
Zénithal,5.4,78,80.0,Action
Youn'G,8.9,49,,Action
Reloaded 2,8.0,1,45.0,Action
Transformers Prime: Galavatron's Revenge,2.4,7,104.0,Action
Hain,2.9,45,95.0,Action
100 Crores,6.1,4,,Action
Rob N Roll,6.1,1,98.0,Action
Napoleon Street,6.28638956805216,0,110.0,Action
Türkler Çildirmis Olmali 2: Mavi Vatan,2.2,156,100.0,Action
Ame no naka no yokujô,5.9,69,132.0,Action
Hakkenden,5.7,74,149.0,Action
Raktaksha,8.4,1,118.0,Action
Inkabi,4.7,79,101.0,Action
Mani nude,6.5,19,,Action
Sumaho o otoshita dake na no ni: Saishusho Final Hacking Game,7.9,17,116.0,Action
Young Love,8.1,10,,Action
Naag Bhoomi,5.7,8,130.0,Action
Yakuza Girl,2.3,66,82.0,Action
Hrashwo Deergha,7.9,80,150.0,Action
Slide or Die the Movie,6.28638956805216,0,127.0,Action
Hotel Underground,7.4,64,,Action
Supplier Shankara,9.3,70,163.0,Action
Day Labor,6.3,86,,Action
The Worlds Divide,8.0,38,120.0,Action
Dange,5.3,791,154.0,Action
The Wolfman,6.28638956805216,0,,Action
Sarangadhariya,8.6,3,150.0,Action
Stranded Pearl,6.0,27,90.0,Action
The Vampire and the Vigilante,3.7,49,75.0,Action
Jorge da Capadócia,6.4,129,119.0,Action
Virunnu,7.9,875,125.0,Action
Pranaya Godari,7.8,2,148.0,Action
Itutumba ka ng tatay ko,5.7,29,109.0,Action
5 Pounds of Pressure,6.7,14,,Action
Mega Twister,2.3,49,75.0,Action
Love You as the World Ends Final,6.4,37,115.0,Action
Warning 2,7.1,881,125.0,Action
The Captives,3.5,66,73.0,Action
#Models Wanted,8.8,32,,Action
Cacophony the Animated Movie,6.28638956805216,0,81.0,Action
Kamen Rider Gotchard: The Future Daybreak,7.9,70,63.0,Action
24 Hours to D-Day,4.6,36,83.0,Action
Bheema,5.8,947,148.0,Action
Abudeka Is Back,5.3,34,120.0,Action
Saala,5.9,1,130.0,Action
Sentinelese,6.28638956805216,0,,Action
Ultraman Blazar the Movie: Tokyo Kaiju Showdown,7.5,84,75.0,Action
Exiled: The Chosen Ones,5.6,53,,Action
Super Vixens 8,6.28638956805216,0,70.0,Action
Killer Ex,3.9,52,94.0,Action
Game of Death - The six Doors to Hell,6.28638956805216,0,,Action
Bonnie,7.4,33,120.0,Action
Dreams,7.6,8,106.0,Action
Die Chaosschwestern und Pinguin Paul,5.7,66,100.0,Action
Viswam,4.3,634,155.0,Action
Dünya Mali: Eksi Bir,7.2,16,133.0,Action
Star Abyss,3.8,241,86.0,Action
The Alexandrian,3.9,252,104.0,Action
Lie Zhan,6.9,66,93.0,Action
Guy Manley: Super Spy,4.4,117,92.0,Action
Thiragabadara Saami,6.4,96,115.0,Action
Surrender,7.8,15,149.0,Action
Emanet,7.9,30,97.0,Action
The Bodyguard,6.6,29,87.0,Action
Uninvited,6.8,71,93.0,Action
War of the Ninja Monsters: Jaron vs Goura,6.28638956805216,0,55.0,Action
Bloodlust,8.2,11,97.0,Action
Fast Furious,6.28638956805216,0,,Action
Cholo Zombies,4.7,102,96.0,Action
Brattt,4.7,67,117.0,Action
Holy Punch,5.3,43,98.0,Action
Rocky and Bullwinkle,9.1,12,100.0,Action
Rebel,3.1,65,100.0,Action
Roxana,3.9,66,98.0,Action
Pariah Volume 1: Every Street Dog Has a Name,6.8,386,138.0,Action
