Title,Rating,Votes,Duration,Genre
385. Fighting the Fire,8.6, (1.7K),1h 55m,Action
386. Next to Us,4.9, (221),2h 5m,Action
387. Samandar,7.6, (137),2h 52m,Action
388. Ship of the Damned,2.8, (295),1h 28m,Action
389. Zoloto Umalty,4.9, (108),1h 49m,Action
390. Thundu,5.0, (903),2h 5m,Action
391. Operation Valentine,5.3, (1.4K),2h 13m,Action
392. Ameena,6.3, (18),1h 47m,Action
393. Zebra,8.0, (3.2K),2h 44m,Action
394. Six jours,6.4, (99),1h 35m,Action
395. Aserb: The Squadron,5.2, (303),2h,Action
396. The Mick and the Trick,5.0, (75),1h 36m,Action
397. Bachhala Malli,8.3, (3.9K),2h 20m,Action
398. Texas Twister,2.5, (157),1h 28m,Action
399. Ghost Killer,7.1, (62),1h 45m,Action
400. Drive,5.6, (321),1h 30m,Action
401. Shark Island,4.0, (114),1h 21m,Action
402. Red vs. Blue: Restoration,5.6, (136),1h 25m,Action
403. Prepare to Die,4.6, (232),1h 33m,Action
404. Agastya - Chapter 1,7.0, (595),2h 48m,Action
405. Gold Raiders,2.0, (183),1h 28m,Action
406. Anchakkallakokkan,6.6, (1K),2h 6m,Action
407. The Heist,6.9, (2K),2h,Action
408. The Legend Hunters,5.5, (29),N/A,Action
409. Angel of the Warrior,8.5, (134),1h 30m,Action
410. Blade of Fury,6.1, (116),1h 30m,Action
411. Mission: Chapter 1,5.9, (1.7K),2h 24m,Action
412. Sheriff,6.9, (1.1K),2h 13m,Action
413. Game On,5.3, (2.3K),2h 20m,Action
414. Ape X Mecha Ape: New World Order,2.8, (134),1h 27m,Action
415. Road Wars: Max Fury,2.0, (350),1h 23m,Action
416. Nintama Rantaro Dokutake Ninja-tai Saikyou no Gunshi,7.1, (17),1h 30m,Action
417. The Waiter,8.1, (22),N/A,Action
418. Mister Gates,8.8, (27),N/A,Action
419. Bhaiyya Ji,4.8, (7.4K),2h 30m,Action
420. Breaking and Re-entering,5.8, (440),1h 49m,Action
421. The Omicron Killer,2.9, (594),1h 38m,Action
422. Indrani: Epic-1 Dharam vs Karam,7.6, (1.1K),2h 37m,Action
423. Captain Miller,6.5, (8.6K),2h 37m,Action
424. The Firefighters,5.7, (176),1h 46m,Action
425. Major Grom: The Game,6.1, (1.8K),2h 48m,Action
426. Andromeda: 1883,4.1, (16),N/A,Action
427. Raju Gari Ammayi Naidu Gari Abbayi,8.3, (3.1K),2h 38m,Action
428. Kill Craft,2.3, (361),1h 39m,Action
429. I Heart Robots,4.6, (2.4K),1h 16m,Action
430. Bolero,3.2, (27),N/A,Action
431. The Day Everything Changed,7.9, (78),1h 37m,Action
432. Buying Time,5.3, (271),1h 24m,Action
433. Rode College,6.6, (424),2h 48m,Action
